Version,Curso,ID_entrada,GLOSA,Clase Gramatical,DEFINICION,Composición,Secuencia,Definición especial,Imagen de la seña, Composición,Secuencia.1,Tipo de Seña,CM1,CM2,CM3,CM4,CM5,nombre_video
DBLSC,LSC1,1,LICENCIA-CONDUCCIÓN,SUSTANTIVO,Documento oficial que autoriza a una persona a conducir vehículos. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),P,W,,,,00001_licenciaco.mp4
DBLSC,LSC1,2,CIELO,SUSTANTIVO,Esfera aparente azul y diáfana que rodea la Tierra. (RAE),SI,2 señas,NO,SI,NO,1 seña,Simétrica (tipo I),Jb,,,,,00002_cielo.mp4
DBLSC,LSC0,3,INTERPRETE,SUSTANTIVO,"Persona que explica a otras, en lengua que entienden, lo dicho en otra que les es desconocida. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),B,H,,,,00003_interprete.mp4
DBLSC,LSC0,4,COLOMBIA,SUSTANTIVO,País soberano situado en la región noroccidental de América del Sur. (Generada Gemini),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),C,Bl,,,,00004_colombia.mp4
DBLSC,LSC0,5,ENSEÑAR,VERBO,"Instruir, doctrinar, amaestrar con reglas o preceptos. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Semi-simétrica (tipo II),J,,,,,00005_enseñar.mp4
DBLSC,LSC0,6,VIRGEN,SUSTANTIVO,Persona que no ha tenido relaciones sexuales. (RAE),NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),R,,,,,00006_virgen.mp4
DBLSC,LSC1,7,PENSION,SUSTANTIVO,"Cantidad periódica, temporal o vitalicia, que la seguridad social paga por razón de jubilación, viudedad, orfandad o incapacidad. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual (tipo 0),G,,,,,00007_pension.mp4
DBLSC,LSC0,8,MANGO,SUSTANTIVO,"Fruto del mango, de forma ovalada, piel amarillenta o rojiza y pulpa muy jugosa y dulce. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),B,,,,,00008_mango.mp4
DBLSC,LSC0,9,TORTUGA,SUSTANTIVO,Reptil cuyo cuerpo está protegido por un caparazón óseo recubierto de placas córneas. (RAE),NO,2 señas,NO,SI,NO,1 seña,Asimétrica (tipo III),A,C,,,,00009_tortuga.mp4
DBLSC,LSC0,10,FOTOCOPIA,VERBO,Reproducción fotográfica directa y sobre papel de un documento impreso o manuscrito. (RAE),NO,1 seña,NO,SI,NO,1 seña,Asimétrica (tipo III),B,Q,,,,00010_fotocopia.mp4
DBLSC,LSC0,11,DEPRONTO,ADVERBIO,"Rápidamente, con presteza, sin preparación. (RAE)",NO,1 seña,SI,SI,NO,1 seña,Unimanual en contacto (tipo X),Ok,J,,,,00011_depronto.mp4
DBLSC,LSC0,12,GUSTAR,VERBO,Sentir y percibir el sabor de las cosas. / Sentir afición o inclinación por alguien o algo. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00012_gustar.mp4
DBLSC,LSC0,13,GUSTAR-NO,VERBO,"Desagradar, no causar placer o afición. (Generada Gemini)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),P,,,,,00013_gustarno.mp4
DBLSC,LSC0,14,POLLO,SUSTANTIVO,"Cría de un ave, y particularmente de la gallina. (RAE)",NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Pa,Pc,,,,00014_pollo.mp4
DBLSC,LSC0,15,MESA,SUSTANTIVO,"Mueble, por lo común de madera, que se compone de una o de varias tablas lisas sostenidas por uno o varios pies. (RAE)",NO,2 señas,NO,SI,NO,1 seña,Simétrica (tipo I),Be,Be,,,,00015_mesa.mp4
DBLSC,LSC0,16,PRESIDENTE,SUSTANTIVO,Persona que preside. / Jefe del Estado en las repúblicas. (RAE),NO,1 seña,NO,SI,NO,1 seña,Unimanual en contacto (tipo X),Bl,,,,,00016_presidente.mp4
DBLSC,LSC0,17,PREOCUPAR,VERBO,"Ocupar antes o anticipadamente algo. / Causar intranquilidad, inquietud o angustia. (RAE)",SI,1 seña,NO,SI,SI,1 seña,Simétrica (tipo I),P,S,,,,00017_preocupar.mp4
