version,curso,id_entrada,glosa_estandar,clase_gramatical,definicion,composicion,secuencia,requiere_definicion,imagen_optima,tipo_sena,cm1,cm2,cm3,cm4,cm5,nombre_video,glosa_limpia,subnivel,red_semantica,nivel
DBLSC,LSC1,1,LICENCIA-CONDUCCIÓN,SUSTANTIVO,Documento oficial que autoriza a una persona a conducir vehículos. (Generada Gemini),NO,1 seña,NO,SI,Asimétrica (tipo III),P,W,Sin especificar,Sin especificar,Sin especificar,00001_licenciaco.mp4,LICENCIA CONDUCCION,test4,83,B2
DBLSC,LSC1,2,CIELO,SUSTANTIVO,Esfera aparente azul y diáfana que rodea la Tierra. (RAE),SI,2 señas,NO,SI,Simétrica (tipo I),Jb,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00002_cielo.mp4,CIELO,test4,44,B2
DBLSC,LSC0,3,INTERPRETE,SUSTANTIVO,"Persona que explica a otras, en lengua que entienden, lo dicho en otra que les es desconocida. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),B,H,Sin especificar,Sin especificar,Sin especificar,00003_interprete.mp4,INTERPRETE,test4,3,A2
DBLSC,LSC0,4,COLOMBIA,SUSTANTIVO,País soberano situado en la región noroccidental de América del Sur. (Generada Gemini),NO,1 seña,NO,SI,Asimétrica (tipo III),C,Bl,Sin especificar,Sin especificar,Sin especificar,00004_colombia.mp4,COLOMBIA,test2,90,A1
DBLSC,LSC0,5,ENSEÑAR,VERBO,"Instruir, doctrinar, amaestrar con reglas o preceptos. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),J,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00005_enseñar.mp4,ENSENAR,test3,83,A1
DBLSC,LSC0,6,VIRGEN,SUSTANTIVO,Persona que no ha tenido relaciones sexuales. (RAE),NO,1 seña,SI,SI,Unimanual en contacto (tipo X),R,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00006_virgen.mp4,VIRGEN,test2,79,A2
DBLSC,LSC1,7,PENSION,SUSTANTIVO,"Cantidad periódica, temporal o vitalicia, que la seguridad social paga por razón de jubilación, viudedad, orfandad o incapacidad. (RAE)",NO,1 seña,NO,SI,Unimanual (tipo 0),G,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00007_pension.mp4,PENSION,test4,14,B2
DBLSC,LSC0,8,MANGO,SUSTANTIVO,"Fruto del mango, de forma ovalada, piel amarillenta o rojiza y pulpa muy jugosa y dulce. (RAE)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),B,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00008_mango.mp4,MANGO,test4,19,A1
DBLSC,LSC0,9,TORTUGA,SUSTANTIVO,Reptil cuyo cuerpo está protegido por un caparazón óseo recubierto de placas córneas. (RAE),NO,2 señas,NO,SI,Asimétrica (tipo III),A,C,Sin especificar,Sin especificar,Sin especificar,00009_tortuga.mp4,TORTUGA,test4,37,A2
DBLSC,LSC0,10,FOTOCOPIA,VERBO,Reproducción fotográfica directa y sobre papel de un documento impreso o manuscrito. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),B,Q,Sin especificar,Sin especificar,Sin especificar,00010_fotocopia.mp4,FOTOCOPIA,test2,32,A2
DBLSC,LSC0,11,DEPRONTO,ADVERBIO,"Que puede suceder o es posible. A diferencia del español, no siempre refiere de forma directa a un suceso rápido, con presteza, sin preparación. (AB)",NO,1 seña,SI,SI,Unimanual en contacto (tipo X),Ok,J,Sin especificar,Sin especificar,Sin especificar,00011_depronto.mp4,DEPRONTO,test1,8,A1
DBLSC,LSC0,12,GUSTAR,VERBO,Sentir y percibir el sabor de las cosas. / Sentir afición o inclinación por alguien o algo. (RAE),NO,1 seña,NO,SI,Unimanual en contacto (tipo X),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00012_gustar.mp4,GUSTAR,test4,38,A1
DBLSC,LSC0,13,GUSTAR-NO,VERBO,"Desagradar, no causar placer o afición. (Generada Gemini)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),P,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00013_gustarno.mp4,GUSTAR NO,test4,3,A1
DBLSC,LSC0,14,POLLO,SUSTANTIVO,"Cría de un ave, y particularmente de la gallina. (RAE)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),Pa,Pc,Sin especificar,Sin especificar,Sin especificar,00014_pollo.mp4,POLLO,test2,35,A2
DBLSC,LSC0,15,MESA,SUSTANTIVO,"Mueble, por lo común de madera, que se compone de una o de varias tablas lisas sostenidas por uno o varios pies. (RAE)",NO,2 señas,NO,SI,Simétrica (tipo I),Be,Be,Sin especificar,Sin especificar,Sin especificar,00015_mesa.mp4,MESA,test2,5,A2
DBLSC,LSC0,16,PRESIDENTE,SUSTANTIVO,Persona que preside. / Jefe del Estado en las repúblicas. (RAE),NO,1 seña,NO,SI,Unimanual en contacto (tipo X),Bl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00016_presidente.mp4,PRESIDENTE,test2,44,A1
DBLSC,LSC0,17,PREOCUPAR,VERBO,"Ocupar antes o anticipadamente algo. / Causar intranquilidad, inquietud o angustia. (RAE)",SI,1 seña,NO,SI,Simétrica (tipo I),P,S,Sin especificar,Sin especificar,Sin especificar,00017_preocupar.mp4,PREOCUPAR,test2,39,A1
DBLSC,LSC0,18,SOBRINO,SUSTANTIVO,"Respecto de una persona, hijo de su hermano. (RAE)",NO,1 seña,NO,SI,Semi-simétrica (tipo II),H,H,Sin especificar,Sin especificar,Sin especificar,00018_sobrino.mp4,SOBRINO,test2,44,A1
DBLSC,LSC0,19,APAGAR-LA-LUZ,VERBO,Interrumpir el paso de la corriente eléctrica o extinguir una fuente de iluminación. (Generada Gemini),NO,1 seña,NO,SI,Unimanual (tipo 0),Jb,Q,Sin especificar,Sin especificar,Sin especificar,00019_apagaluz.mp4,APAGAR LA LUZ,test3,70,A1
DBLSC,LSC0,20,BONITO,ADJETIVO,"Lindo, agraciado, de cierta proporción y belleza. (RAE)",NO,1 seña,NO,SI,Unimanual en contacto (tipo X),J,Q,Sin especificar,Sin especificar,Sin especificar,00020_bonito.mp4,BONITO,test2,23,A1
DBLSC,LSC0,21,TEMPRANO,ADVERBIO,"Adelantado, anticipado o que es antes del tiempo regular u ordinario. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),Ql,N,Sin especificar,Sin especificar,Sin especificar,00021_temprano.mp4,TEMPRANO,test1,55,A1
DBLSC,LSC0,22,CARRO,SUSTANTIVO,Vehículo automóvil. (RAE),NO,1 seña,NO,SI,Asimétrica (tipo III),S,S,Sin especificar,Sin especificar,Sin especificar,00022_carro.mp4,CARRO,test1,65,A1
DBLSC,LSC0,23,JAMAS,ADVERBIO,Nunca. (RAE),NO,1 seña,NO,SI,Unimanual (tipo 0),Bl,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00023_jamas.mp4,JAMAS,test2,56,A1
DBLSC,LSC0,24,BOGOTA,SUSTANTIVO,Ciudad capital de Colombia y del departamento de Cundinamarca. (Generada Gemini),NO,1 seña,NO,SI,Semi-simétrica (tipo II),S,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00024_bogota.mp4,BOGOTA,test3,61,A2
DBLSC,LSC0,25,SAPO,SUSTANTIVO,"Anfibio anuro de cuerpo rechoncho, ojos saltones, extremidades cortas y piel de aspecto verrugoso. (RAE)",NO,1 seña,NO,SI,Asimétrica (tipo III),B,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00025_sapo.mp4,SAPO,test2,56,A1
DBLSC,LSC0,26,AMBULANCIA,SUSTANTIVO,Vehículo acondicionado para el traslado de enfermos y heridos. (RAE),NO,1 seña,NO,SI,Semi-simétrica (tipo II),G,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00026_ambulancia.mp4,AMBULANCIA,test3,70,A2
DBLSC,LSC0,27,PERSONA,SUSTANTIVO,Individuo de la especie humana. (RAE),NO,1 seña,NO,SI,Unimanual (tipo 0),Cb,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00027_persona.mp4,PERSONA,test1,77,A1
DBLSC,LSC1,28,BIBLIA,SUSTANTIVO,Libro sagrado del cristianismo que comprende el Antiguo y el Nuevo Testamento. (Generada Gemini),SI,2 señas,NO,SI,Simétrica (tipo I),N,Bl,Sin especificar,Sin especificar,Sin especificar,00028_bibliajesu.mp4,BIBLIA,test3,87,B1
DBLSC,LSC0,29,MARZO(1),SUSTANTIVO,"Tercer mes del año, que tiene 31 días. (RAE)",NO,1 seña,NO,SI,Unimanual (tipo 0),U,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00029_marzo.mp4,MARZO 1,test1,88,A1
DBLSC,LSC1,30,OCCIDENTE,SUSTANTIVO,"Oeste (punto cardinal). / Conjunto de países de varios continentes, cuyas lenguas y culturas tienen su origen principal en Europa. (RAE)",NO,1 seña,NO,SI,Unimanual (tipo 0),O,C,Sin especificar,Sin especificar,Sin especificar,00030_occidente.mp4,OCCIDENTE,test2,28,B1
DBLSC,LSC1,31,ABUSO-SEXUAL,SUSTANTIVO,"Cualquier actividad sexual no consentida que involucra la fuerza, amenaza o abuso de poder. (Generada Gemini)",SI,2 señas,NO,SI,Asimétrica (tipo III),A,XX,Sin especificar,Sin especificar,Sin especificar,00031_abusosexua.mp4,ABUSO SEXUAL,test1,80,B2
DBLSC,LSC0,32,PARQUE,SUSTANTIVO,"Terreno situado en el interior de una población, que se destina a prados, jardines y arbolado sirviendo como lugar de esparcimiento y recreación. (RAE)",NO,1 seña,NO,SI,Simétrica (tipo I),XX,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00032_parque.mp4,PARQUE,test4,43,A2
DBLSC,LSC0,33,LO-SIENTO-PORFAVOR,VERBO,Expresión compuesta que une el arrepentimiento por un hecho y la solicitud de disculpas o de un favor. (Generada Gemini),NO,1 seña,SI,SI,Unimanual en contacto (tipo X),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00033_losientofa.mp4,LO SIENTO PORFAVOR,test2,39,A1
DBLSC,LSC0,34,CADA-UNO,FUNCION,Pronombre que designa por separado a todas las personas o cosas de que se trata. (Generada Gemini),NO,1 seña,NO,SI,Semi-simétrica (tipo II),A,Sin especificar,Sin especificar,Sin especificar,Sin especificar,00034_cadauno1.mp4,CADA UNO,test4,40,A1
